week,google_ads_spend,meta_ads_spend,youtube_spend,amazon_ads_spend,flipkart_ads_spend,offline_spend,is_diwali_week,is_eid_week,is_republic_day_week,is_eors_week,competitor_price_index,avg_product_price,weekly_revenue
2024-07-29,658060.0,855809.0,58201.0,122430.0,153326.0,0.0,0,0,0,0,97.56,1882.85,11318347.0
2024-08-05,862777.0,445894.0,695907.0,95099.0,140981.0,0.0,0,0,0,0,97.95,1940.02,11181002.0
2024-08-12,838971.0,658188.0,740554.0,85072.0,185628.0,0.0,0,0,0,0,96.32,1914.64,11578138.0
2024-08-19,786756.0,737637.0,473885.0,134803.0,164448.0,0.0,0,0,0,0,97.78,1898.28,12077629.0
2024-08-26,753819.0,411956.0,712969.0,139232.0,145831.0,0.0,0,0,0,0,95.81,1956.04,11523630.0
2024-09-02,747995.0,150000.0,79876.0,169972.0,145769.0,0.0,0,0,0,0,96.04,1951.89,11009887.0
2024-09-09,661070.0,332557.0,50000.0,217066.0,95145.0,0.0,0,0,0,0,95.44,1989.56,10566195.0
2024-09-16,590868.0,234030.0,76045.0,239264.0,154904.0,0.0,0,0,0,0,94.54,1973.0,10613139.0
2024-09-23,697942.0,487875.0,65036.0,167348.0,171620.0,0.0,0,0,0,0,95.31,1979.18,11068481.0
2024-09-30,976365.0,665727.0,53005.0,215932.0,148282.0,0.0,0,0,0,0,94.89,2021.04,12039539.0
2024-10-07,849776.0,451657.0,50000.0,176901.0,144927.0,0.0,0,0,0,0,95.77,1907.18,11382959.0
2024-10-14,827506.0,642316.0,60809.0,208750.0,207234.0,0.0,0,0,0,0,93.84,1882.37,11821471.0
2024-10-21,1131411.0,739017.0,78457.0,419054.0,229224.0,801442.0,1,0,0,0,95.09,2040.26,16549106.0
2024-10-28,1003015.0,561055.0,51837.0,280191.0,218957.0,688544.0,1,0,0,0,95.2,1991.4,16096416.0
2024-11-04,1208158.0,769553.0,68364.0,300092.0,281664.0,0.0,1,0,0,0,97.42,2018.78,17091703.0
2024-11-11,951349.0,511162.0,50000.0,147363.0,132654.0,0.0,0,0,0,0,98.07,1943.83,12134921.0
2024-11-18,791297.0,667085.0,58311.0,249039.0,174468.0,0.0,0,0,0,0,95.59,1947.8,12352909.0
2024-11-25,874893.0,726515.0,75196.0,165621.0,119520.0,0.0,0,0,0,0,99.44,1957.56,12440922.0
2024-12-02,810908.0,1071192.0,50000.0,154187.0,88386.0,0.0,0,0,0,0,99.31,1937.45,12603745.0
2024-12-09,783416.0,814613.0,62066.0,305087.0,332454.0,0.0,0,0,0,1,99.44,2037.67,14984559.0
2024-12-16,882131.0,998040.0,86355.0,235503.0,306815.0,0.0,0,0,0,1,100.9,2040.16,15425957.0
2024-12-23,755612.0,641435.0,51089.0,234582.0,101603.0,0.0,0,0,0,0,99.52,2038.46,12021324.0
2024-12-30,726532.0,442029.0,54462.0,198819.0,166141.0,0.0,0,0,0,0,100.05,2036.62,11228523.0
2025-01-06,943235.0,706462.0,50000.0,167823.0,196536.0,0.0,0,0,0,0,101.75,2069.64,11993755.0
2025-01-13,813754.0,231373.0,88060.0,204225.0,136021.0,0.0,0,0,0,0,100.57,2101.54,10769687.0
2025-01-20,874285.0,807890.0,57228.0,141689.0,154438.0,0.0,0,0,0,0,102.63,2095.65,12071533.0
2025-01-27,864753.0,412966.0,390947.0,265472.0,178552.0,0.0,0,0,1,0,102.72,2091.17,13499758.0
2025-02-03,1029221.0,501826.0,452377.0,158647.0,123853.0,0.0,0,0,0,0,104.99,2058.37,11724403.0
2025-02-10,840453.0,281100.0,75203.0,163577.0,162389.0,0.0,0,0,0,0,104.21,2149.81,11321234.0
2025-02-17,694286.0,571837.0,74234.0,164750.0,110600.0,0.0,0,0,0,0,105.21,2120.49,11204108.0
2025-02-24,759165.0,540791.0,50000.0,234931.0,125480.0,0.0,0,0,0,0,105.09,2129.3,11401337.0
2025-03-03,995602.0,525639.0,50000.0,220733.0,167351.0,0.0,0,0,0,0,103.58,2153.28,11974849.0
2025-03-10,974114.0,811266.0,50000.0,206139.0,148421.0,0.0,0,0,0,0,106.42,2145.25,12475775.0
2025-03-17,1106974.0,965874.0,69893.0,230054.0,73116.0,0.0,0,0,0,0,105.69,2181.93,12793344.0
2025-03-24,1069665.0,784796.0,73296.0,220288.0,140135.0,0.0,0,0,0,0,104.87,2215.11,12974426.0
2025-03-31,1401145.0,873595.0,50000.0,212934.0,153583.0,0.0,0,1,0,0,104.24,2188.39,14195977.0
2025-04-07,1105053.0,534426.0,50000.0,184775.0,98204.0,0.0,0,0,0,0,103.92,2193.65,12548777.0
2025-04-14,650975.0,738051.0,89365.0,226653.0,114591.0,0.0,0,0,0,0,105.16,2209.25,12034344.0
2025-04-21,650088.0,372482.0,50000.0,162676.0,120480.0,0.0,0,0,0,0,102.44,2213.67,11080897.0
2025-04-28,613384.0,729441.0,64953.0,157878.0,89683.0,0.0,0,0,0,0,104.07,2223.8,11072863.0
2025-05-05,818778.0,448940.0,71279.0,164199.0,86138.0,0.0,0,0,0,0,104.69,2217.17,10660440.0
2025-05-12,803592.0,303971.0,50000.0,206833.0,44831.0,0.0,0,0,0,0,104.57,2219.03,10542346.0
2025-05-19,833411.0,642232.0,53971.0,236511.0,75168.0,0.0,0,0,0,0,103.0,2217.14,11061761.0
2025-05-26,850664.0,436988.0,65268.0,137448.0,76112.0,0.0,0,0,0,0,102.62,2216.8,10543521.0
2025-06-02,833399.0,389414.0,50000.0,171171.0,106892.0,0.0,0,0,0,0,99.62,2237.34,10848938.0
2025-06-09,1102040.0,390663.0,61137.0,205562.0,109011.0,657658.0,0,0,0,0,98.39,2252.43,11470876.0
2025-06-16,1339821.0,524599.0,51075.0,147437.0,115458.0,769225.0,0,0,0,0,96.58,2209.37,12368617.0
2025-06-23,1244151.0,150000.0,50000.0,212502.0,114819.0,0.0,0,0,0,0,98.37,2256.93,11858533.0
2025-06-30,948176.0,150000.0,714987.0,158053.0,107355.0,0.0,0,0,0,0,98.21,2259.35,11071456.0
2025-07-07,979244.0,488396.0,602069.0,151803.0,122374.0,0.0,0,0,0,0,97.63,2250.82,11944948.0
2025-07-14,1218567.0,510127.0,437363.0,232832.0,361248.0,0.0,0,0,0,1,96.83,2226.01,15220755.0
2025-07-21,1351426.0,803496.0,99046.0,157531.0,215925.0,0.0,0,0,0,1,99.06,2253.94,15361268.0
2025-07-28,1058748.0,733507.0,68090.0,131262.0,57681.0,0.0,0,0,0,0,100.72,2253.02,12746599.0
2025-08-04,980190.0,653666.0,57010.0,80619.0,144164.0,0.0,0,0,0,0,97.04,2248.98,12169908.0
2025-08-11,1085220.0,483409.0,72635.0,203973.0,83791.0,0.0,0,0,0,0,95.42,2231.11,12241527.0
2025-08-18,755287.0,591981.0,50000.0,169962.0,113008.0,0.0,0,0,0,0,93.21,2186.49,11773547.0
2025-08-25,978847.0,636088.0,75166.0,176555.0,42561.0,0.0,0,0,0,0,93.86,2202.2,11759794.0
2025-09-01,899681.0,313847.0,492168.0,190422.0,125444.0,0.0,0,0,0,0,94.86,2225.0,11321666.0
2025-09-08,642490.0,667045.0,654771.0,164393.0,151518.0,0.0,0,0,0,0,92.85,2172.05,11661091.0
2025-09-15,689220.0,414743.0,50000.0,143170.0,132602.0,0.0,0,0,0,0,94.23,2162.45,11458473.0
2025-09-22,762051.0,406634.0,50000.0,180466.0,128594.0,0.0,0,0,0,0,94.7,2180.45,11013113.0
2025-09-29,704832.0,366234.0,50000.0,140478.0,167350.0,0.0,0,0,0,0,96.28,2139.74,10823097.0
2025-10-06,936457.0,560999.0,98633.0,167749.0,127703.0,0.0,0,0,0,0,95.58,2107.42,11610777.0
2025-10-13,1085984.0,718710.0,583952.0,176537.0,125676.0,791736.0,0,0,0,0,94.65,2101.92,12802876.0
2025-10-20,1086882.0,388690.0,800000.0,287068.0,199041.0,623664.0,1,0,0,0,98.45,2113.23,16211722.0
2025-10-27,1127616.0,1035552.0,800000.0,268365.0,220350.0,0.0,1,0,0,0,97.65,2047.27,17428441.0
2025-11-03,868024.0,638410.0,74275.0,279948.0,230445.0,0.0,1,0,0,0,98.27,2120.8,16555527.0
2025-11-10,994653.0,578721.0,77725.0,152533.0,123020.0,0.0,0,0,0,0,98.6,2022.47,12864067.0
2025-11-17,912719.0,607701.0,50000.0,93647.0,139074.0,0.0,0,0,0,0,98.02,2053.08,12075742.0
2025-11-24,759666.0,461784.0,658466.0,172702.0,163377.0,0.0,0,0,0,0,101.75,1989.38,11995599.0
2025-12-01,1083807.0,150783.0,629607.0,203695.0,106637.0,0.0,0,0,0,0,99.48,2034.24,11421136.0
2025-12-08,1474204.0,509386.0,73057.0,322694.0,256882.0,0.0,0,0,0,1,100.66,2024.41,15344710.0
2025-12-15,1495696.0,902007.0,87299.0,351936.0,172894.0,0.0,0,0,0,1,99.26,2002.65,16408954.0
2025-12-22,1091921.0,303277.0,69801.0,229871.0,85989.0,0.0,0,0,0,0,101.64,1978.51,12749586.0
